"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","regulation","label"
0.388995459711968,5.03166107166529,5.76607053832409,3.08279010401367e-07,9.22181854412166e-05,6.57386269078692,"PAFAH1B3","NS",""
-0.464598962542256,5.44980140395436,-5.76444996262145,3.10183653511739e-07,9.22181854412166e-05,6.56807447518494,"CNPPD1","NS",""
-0.902214664147714,4.48614865278599,-5.72669011683716,3.58010856780583e-07,0.000104466242042438,6.43332247854986,"CAB39L","NS",""
0.736541508977409,4.39488052791129,5.71532790503774,3.7378077895729e-07,0.000105689017653134,6.39281837781412,"NCAPG2","NS",""
0.434738058883224,4.69840159329675,5.71403638682915,3.75616233329662e-07,0.000105689017653134,6.38821566235197,"REEP4","NS",""
0.509971180329981,4.55744409913972,5.69183001505891,4.08605887387012e-07,0.000112137404724185,6.30911839956503,"PRIM1","NS",""
-0.539981063912162,3.90810504555071,-5.68648282597912,4.16968283886558e-07,0.000112137404724185,6.29008406250461,"PTGER4","NS",""
0.421131319201116,5.50102716540993,5.68464353344146,4.19883663053051e-07,0.000112137404724185,6.28353782747241,"DNMT1","NS",""
0.210864487315521,5.79154992609697,5.67306064504442,4.38711837680562e-07,0.000115213040438877,6.24232584044255,"PWP1","NS",""
0.315987442136857,5.74486562454884,5.6387177117704,4.99582131070504e-07,0.000129047797365212,6.12026422691154,"BFAR","NS",""
-0.351607001492996,6.01531195276351,-5.63424497320212,5.08100485713803e-07,0.000129131279893426,6.10438180698739,"NXF1","NS",""
-0.332244229602046,5.89593593083271,-5.62353236203217,5.29090697890562e-07,0.000132331462327962,6.06635582199676,"ECHDC2","NS",""
-0.451055847378856,4.76412643323491,-5.60152834467098,5.74929357568389e-07,0.000140247495310153,5.98831116468898,"MYO1F","NS",""
-0.373851732005945,6.26125275429682,-5.5998685412509,5.78542057191085e-07,0.000140247495310153,5.98242751603477,"EPS15","NS",""
-0.591424146481305,6.13084794546578,-5.59287743340355,5.94006549251228e-07,0.000141814563584115,5.95765081271044,"BABAM2","NS",""
-0.536098515413157,4.00254936334206,-5.58768565483765,6.05754436204604e-07,0.00014246078583994,5.93925653052867,"TDRD10","NS",""
0.227035782421221,6.72513213966134,5.58238080922032,6.17995204347625e-07,0.000143202212278022,5.92046655659693,"SRSF9","NS",""
0.658853881357295,3.55483357860785,5.57347103023949,6.39106336964772e-07,0.000145947805094984,5.88891896637498,"TACC3","NS",""
-0.533294988856274,5.22035092013554,-5.55926577642894,6.74246856111572e-07,0.000149722971503242,5.83865049810019,"NBEA","NS",""
0.928860937688322,4.65170154209713,5.55905755536692,6.7477588404536e-07,0.000149722971503242,5.83791393017037,"GAS2L3","NS",""
-0.606162691832242,5.47569464652911,-5.55256390846818,6.91481626097037e-07,0.000149722971503242,5.81494701247095,"CERK","NS",""
-0.573009276130772,5.88214642516381,-5.55173403432816,6.93645803118405e-07,0.000149722971503242,5.81201243801511,"LRMDA","NS",""
0.661311455900858,4.82296158292958,5.54166881980191,7.20432782276418e-07,0.000151646011234972,5.77643008424289,"MCM2","NS",""
0.29755816885911,5.7046657859144,5.53943024063542,7.26527853110093e-07,0.000151646011234972,5.76851880584803,"DCTPP1","NS",""
0.424130820939219,4.31297267610334,5.53483762623057,7.39192164170955e-07,0.000151646011234972,5.75229108397995,"E2F1","NS",""
